NUMBER_KEY,User_fld,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
CB200042,093400  00623,2,16,13,8,7,5,5
E0718395,073040  00058,2,16,11,9,7,5,5
P0352903,D0210H A00021,1,11,4,2,5,9,9
E0686246,060174  00140,2,10,11,9,6,5,5
P0359688,012008  00012,2,1,6,4,3,7,7
E0726793,D0242E B00071,2,16,13,8,8,8,8
CZW200788,090002  00331,1,2,1,7,1,3,3
CB200157,022012  00011,1,2,6,4,3,7,7
B1106753,020037  00021,1,1,7,11,9,7,7
E0737011,036002  00019,1,1,7,11,9,7,7
M0757156,036002  00019,1,1,7,11,9,7,7
B1051737,036002  00019,1,1,7,11,9,7,7
M0755897,072068  00019,1,2,1,3,1,4,4
M0754595,M0115L B00035,1,2,2,7,2,3,3
E0732712,M0115L B00034,1,2,2,7,2,3,3
E0732712,M0115L B00034,1,2,2,7,2,3,3
E0650918,A0142V B00060,1,4,2,1,2,9,9
E0733185,D0215M E00022,1,11,9,6,5,1,1
E0737096,054009  00005,1,6,7,11,4,2,2
E0737043,045111  00036,2,6,15,5,9,2,2
M0746122,096919 B00057,1,15,4,2,5,1,1
M0758794,074102  00101,2,16,11,9,7,5,5
P0344789,027002  00048,1,2,6,4,3,7,7
M0744810,027002  00048,1,2,6,4,3,7,7
M0729847,002081  00010,2,1,6,4,3,7,7
M0741064,D0216G C00049,1,11,9,6,5,1,1
E0710548,084020  00045,1,5,1,3,1,3,3
P0360589,G0220J S00003,1,15,9,6,5,1,1
E0724178,002086 C00156C,2,1,6,4,3,7,7
M0737495,095317 A00004,1,5,4,2,5,1,1
M0758999,043068  00011,1,6,7,11,4,2,2
S0106825,,2,10,11,9,7,5,5
E0722527,033011  00099,1,6,7,11,9,2,2
E0737038,057009  00007,2,6,7,5,4,2,2
P0360513,G0220E B00016,1,17,9,6,8,1,1
P0360513,G0220E B00016,1,17,9,6,8,1,1
E0735426,036022  00022,1,1,7,11,9,7,7
B1110890,070076  00001,1,2,1,7,1,4,4
C04655018,060031  00023,2,10,15,10,6,7,7
P0357082,060017  00024,2,10,15,10,6,7,7
M0759272,014028  00044,2,10,15,10,6,7,7
E0731554,093417 J00038,2,16,13,8,7,5,5
M0749549,096621 B00048,1,4,4,2,2,9,9
M0727988,088030  00271,1,5,1,3,1,3,3
M0727989,088030  00271,1,5,1,3,1,3,3
B1051448,060176  00390,2,10,11,9,7,5,5
B1051448,060176  00390,2,10,11,9,7,5,5
P0356707,056035  00001,1,6,8,5,4,2,2
BC0015407,D0242   00461,2,16,13,8,8,8,8
E0731882,080021 E00076,1,15,8,5,4,1,1
M0728690,080021 E00076,1,15,8,5,4,1,1
E0700478,080008  00218,1,15,8,5,4,1,1
E0700478,080008  00218,1,15,8,5,4,1,1
M0735985,G0221   00133,1,17,9,6,8,1,1
P0359775,002110 A00020,2,1,6,4,3,7,7
E0737514,034019  00010,2,10,15,10,6,7,7
E0708416,044064  00011,1,6,7,11,4,2,2
B1116601,D0209S B00004,1,11,4,2,5,9,9
B1116601,D0209S B00004,1,11,4,2,5,9,9
E0736979,D0208E I00093,1,15,4,2,5,1,1
E0736979,D0208E I00093,1,15,4,2,5,1,1
M0678141,D0208E I00093,1,15,4,2,5,1,1
B1096413,D0208E I00093,1,15,4,2,5,1,1
BC0014789,089044  00235,1,15,8,11,4,1,1
BC0014789,089044  00235,1,15,8,11,4,1,1
BC0014789,089044  00235,1,15,8,11,4,1,1
BC0014789,089044  00235,1,15,8,11,4,1,1
P0351577,A0152G A00024,1,4,2,2,2,9,9
CSW0206665,038064  00039C,1,6,7,11,4,2,2
M0755043,021067  00002,1,2,7,3,9,7,7
CZW205391,043009  00066,1,5,7,3,9,2,2
E0737795,071057  00012,1,2,1,7,1,4,4
M0759283,089044  00219,1,5,4,3,1,1,1
CZW206965,063026  00025,1,6,8,11,4,2,2
CSW0206653,063007  00012,1,6,8,11,4,2,2
CZW206871,054016  00017C,1,6,8,11,4,2,2
CSW206854,054019  00001,1,6,7,11,4,2,2
CSW0206604,055001  00085,1,6,7,11,4,2,2
P0359247,056033  00065,1,6,8,5,4,2,2
CSW0206665,038064  00039C,1,6,7,11,4,2,2
CSW0206668,038064  00028,1,6,7,11,4,2,2
P0360641,044040  00011,1,6,7,11,4,2,2
BC0015494,033001  00003,1,6,7,11,9,2,2
BC0015494,033001  00003,1,6,7,11,9,2,2
BC0015494,033001  00003,1,6,7,11,9,2,2
BC0015494,033001  00003,1,6,7,11,9,2,2
E0737764,058087  00043,2,16,15,5,7,2,2
C2010473,020039  00010,1,1,7,11,9,7,7
P0361157,070042  00062,1,2,1,7,1,4,4
E0737039,045111  00036,2,6,15,5,9,2,2
CSW206874,038065  00014,1,6,7,11,4,2,2
P0345085,058066  00027,2,6,8,5,4,2,2
E0736976,D0255F H00102,2,16,13,8,8,8,8
C2010574,031027  00041,2,10,15,5,9,7,7
P0337765,080001  00043,1,15,8,11,4,1,1
B1102027,057001  00003,1,6,7,11,4,2,2
E0720162,091111  00010,1,15,9,6,5,1,1
M0747597,091108  00015,1,15,9,6,5,1,1
M0747597,091108  00015,1,15,9,6,5,1,1
C04659516,040038  00022,1,1,7,11,9,7,7
C04224968,085026  00028,1,5,1,3,1,3,3
E0737037,043056  00015,1,6,7,11,4,2,2
E0727078,001078  00009C,1,1,6,4,3,7,7
M0750440,035048  00010,2,10,10,10,6,7,7
CZW4685780,093106 D00084,2,17,13,8,7,5,5
CZW4685784,093106 D00084,2,17,13,8,7,5,5
B1108647,081092  00014,2,16,13,8,8,8,8
B1108647,081092  00014,2,16,13,8,8,8,8
E0733196,091113  00125,1,15,9,6,5,1,1
E0733195,091113  00125,1,15,9,6,5,1,1
E0733194,091113  00125,1,15,9,6,5,1,1
B1115690,091113  00125,1,15,9,6,5,1,1
CZW194877,013014  00007,2,10,10,10,6,7,7
CZW206974,063072  00019,1,6,8,11,4,2,2
B1116970,G0232   00474,2,17,9,6,8,8,8
M0730028,007036  00001,2,1,6,4,3,7,7
M0757564,M0115L B00013,1,2,2,7,2,3,3
E0729336,A0142H B00001,1,4,2,1,2,9,9
E0732713,M0115L B00041,1,2,2,7,1,3,3
E0732713,M0115L B00041,1,2,2,7,1,3,3
E0650930,A0142W G00005,1,4,2,1,2,9,9
E0650930,A0142W G00005,1,4,2,1,2,9,9
M0720961,A0142W G00005,1,4,2,1,2,9,9
P0358770,005028  00006,2,1,6,4,3,7,7
E0732714,M0115L B00013,1,2,2,7,2,3,3
M0730028,007036  00001,2,1,6,4,3,7,7
M0739512,D0140   00316,1,4,2,1,2,9,9
P0358177,D0215M E00016,1,11,9,6,5,1,1
M0750871,D0140   00321,1,4,2,1,2,9,9
E0716947,D0148   00475C,1,5,2,7,1,3,3
E0716944,D0148   00475C,1,5,2,7,1,3,3
M0746129,G0232X C00014,1,17,9,6,8,1,1
M0744491,M0115L B00037,1,2,2,7,2,3,3
M0731187,G0230Q L00051,2,17,13,8,7,8,8
M0727989,088030  00271,1,5,1,3,1,3,3
CZW189624,D0147B G00048,1,5,2,3,1,3,3
CP200045,088072  00010,1,6,8,11,4,2,2
E0707323,089044  00271,1,5,4,3,1,1,1
P0360411,A0142W G00004,1,4,2,1,2,9,9
P0360411,A0142W G00004,1,4,2,1,2,9,9
P0360411,A0142W G00004,1,4,2,1,2,9,9
E0708725,075002  00022,2,10,10,10,6,10,10
P0360619,M0115L B00013,1,2,2,7,2,3,3
E0732714,M0115L B00013,1,2,2,7,2,3,3
B1116603,A0142J I00031,1,4,2,1,2,9,9
E0732715,M0115L B00014,1,2,2,7,2,3,3
E0732715,M0115L B00014,1,2,2,7,2,3,3
P0360593,M0115L B00014,1,2,2,7,2,3,3
M0756127,M0115L B00014,1,2,2,7,2,3,3
M0755974,050043  00004,2,10,10,10,6,7,7
M0743468,A0141G B00021,1,4,2,1,2,9,9
E0600834,A0141G B00001,1,4,2,1,2,9,9
P0335721,005015  00008C,2,1,6,4,3,7,7
E0724016,090078  00007,1,2,1,7,1,3,3
E0726364,090078  00007,1,2,1,7,1,3,3
E0737754,G0221D H00010,2,1,6,4,3,7,7
P0353999,G0221D H00010,2,1,6,4,3,7,7
E0685188,017073  00022,2,1,7,11,9,7,7
B1102954,017073  00022,2,1,7,11,9,7,7
M0747204,089014  00205,1,15,8,11,4,1,1
P0337732,002099  00002C,2,1,6,4,3,7,7
M0740972,055004  00013,1,6,7,11,4,2,2
M0720975,092007  00073,1,4,4,2,2,9,9
SC006148,073001  00033,2,10,11,9,7,5,5
E0712085,092007  00069,1,4,4,2,2,9,9
P0358530,081026 A00192,2,17,9,6,7,1,1
C2010499,052009  00005,1,6,7,11,9,2,2
P0358655,096500  00669,1,5,4,2,5,9,9
B1087932,A0141G B00021,1,4,2,1,2,9,9
B1109833,L0159   00587,1,4,4,2,2,9,9
M0643025,023022  00020C,2,1,6,4,3,7,7
B1116934,094300  00601C,2,16,13,8,7,5,5
M0592417,D0208   00630C,1,15,4,2,5,1,1
P0334995,D0207  J00027,1,5,4,2,5,1,1
P0357834,A0142V B00006,1,4,2,1,2,9,9
E0687216,G0232  C00011,1,17,9,6,8,8,8
E0735576,072019  00008,1,2,1,7,1,4,4
E0705218,M0115R A00005,1,2,2,7,1,3,3
E0735885,D0125   00075,1,2,1,7,1,3,3
P0361572,073030  00020,2,16,11,9,7,5,5
B1118234,012009  00010,2,10,6,10,6,7,7
P0355357,080008  00412,1,15,8,5,4,1,1
E0724382,065045  00001C,2,6,8,5,4,2,2
E0724382,065045  00001C,2,6,8,5,4,2,2
B1108031,072088  00040,1,2,1,7,1,4,4
BC0015203,050127  00003,2,10,10,10,6,10,10
P0336580,015001  00073,2,1,6,4,3,7,7
P0361806,031072  00014,2,10,15,5,9,7,7
E0727737,064018  00029,1,6,8,11,4,2,2
E0735738,071058  00023,1,2,1,7,1,4,4
B1109301,027005  00027,1,2,6,4,3,7,7
M0759133,M0115R A00005,1,2,2,7,1,3,3
P0355251,M0126   00324,1,2,2,7,1,3,3
M0741062,D0223M A00031,1,11,9,6,5,1,8
P0359044,022006  00023,1,1,6,4,3,7,7
P0359047,022006  00023,1,1,6,4,3,7,7
P0350104,G0232I D00013,1,17,13,8,8,8,8
P0351543,A0142   00544C,1,4,2,1,2,9,9
E0717941,L0151T A00006,1,4,2,1,2,9,9
E0723052,A0152   00306,1,4,2,1,2,9,9
M0724682,D0223M A00004,1,11,9,6,5,1,8
B1052260,G0231U B00122,1,17,9,6,8,1,1
P0361799,M0115   00197,1,2,2,7,1,3,3
E0736976,D0255F H00102,2,16,13,8,8,8,8
C2010593,035010  00020,2,10,10,10,6,7,7
E0732256,082019  00001,2,10,10,10,6,10,10
P0357145,082019  00001,2,10,10,10,6,10,10
M0649373,082019  00001,2,10,10,10,6,10,10
M0649373,082019  00001,2,10,10,10,6,10,10
P0330989,M0125   00196,1,2,1,7,1,3,3
P0361395,056008  00145,1,6,8,5,4,2,2
E0737382,079161  00001,2,10,10,10,6,10,10
B1116857,045125  00039,2,6,7,5,4,2,2
E0735958,060048  00016,2,10,15,5,6,7,7
M0751952,058005  00058,2,6,8,5,4,2,2
M0748388,081021  00048,2,17,9,6,7,1,1
E0730232,026056  00058,2,10,15,5,9,7,7
E0730233,026056  00059,2,10,15,5,9,7,7
C04624202,060107  00021,2,10,15,5,6,7,7
C04540432,027013  00022,1,1,6,4,3,7,7
M0759308,027018  00026,1,1,6,4,3,7,7
B1104261,044114 A00066,1,6,7,5,4,2,2
M0757083,036037  00032,1,1,7,11,9,7,7
M0753078,070062  00017,1,2,1,7,1,4,4
P0361598,066018  00011,2,16,8,5,7,2,2
M0742791,069004  00115,1,2,1,7,1,4,4
M0757101,014023  00101,2,10,6,10,6,7,7
C2010600,044041 A00060,1,6,7,11,4,2,2
M0755778,060093  00019,2,10,15,5,6,7,7
E0737516,042006  00034,1,5,7,3,9,2,2
E0734581,096923 E00039,1,15,4,2,5,1,1
M0746289,037028  00030,1,6,7,11,9,2,2
M0752799,068077  00009,1,15,8,11,4,1,1
M0648157,078043  00005,2,10,10,10,6,10,10
M0755124,070058  00068,1,2,1,7,1,4,4
P0360933,076127 A00002,2,10,10,10,6,10,10
C2010594,035010  00021,2,10,10,10,6,7,7
M0757572,091025  00001,1,15,4,2,5,1,1
C2010595,035010  00022,2,10,10,10,6,7,7
E0717942,080008 C00168,1,15,9,6,5,1,1
E0707588,050073  00012,2,10,10,10,6,7,7
M0754309,002042  00020,2,1,6,4,3,7,7
M0757159,014028  00007,2,10,15,10,6,7,7
P0355212,055002  00002,1,6,7,11,4,2,2
M0592471,G0221   00255,1,17,9,6,8,1,1
B1051402,045010  00012,2,6,7,11,9,2,2
P0354370,G0219F J00011,1,15,9,6,5,1,1
M0699984,G0219F J00011,1,15,9,6,5,1,1
C04778174,071031  00010,1,2,1,7,1,4,4
E0724800,D0216   00281,1,11,9,6,5,1,1
C2010590,D0134  E00048,1,2,1,7,1,4,4
B1114693,036092  00030,1,6,7,11,9,2,2
M0723408,059008  00039,2,6,15,5,9,2,2
M0758424,030009  00001,2,1,7,11,9,7,7
M0758424,030009  00001,2,1,7,11,9,7,7
P0346397,017060  00005,2,1,7,11,9,7,7
E0734292,D0137  H00051,1,2,1,7,1,3,3
E0691269,033041  00017,1,6,7,11,9,2,2
BC0015585,088032  00119C,1,5,1,3,1,3,3
BC0015585,088032  00119C,1,5,1,3,1,3,3
P0357299,044072  00016,1,6,7,11,4,2,2
B1099347,D0148   00475C,1,5,2,7,1,3,3
B1050409,G0219B G00063,2,17,9,6,7,1,1
B1099346,D0148   00475C,1,5,2,7,1,3,3
E0733399,025008  00005,2,1,6,4,3,7,7
E0728303,D0137X D00038,1,2,1,7,1,3,3
P0357061,G0220C L00013C,1,17,9,6,8,1,1
E0706078,094200  00439,2,16,11,9,7,5,5
M0725128,094200  00439,2,16,11,9,7,5,5
E0732232,093418 B00181,2,16,11,9,7,5,5
P0358035,014008 B00022,2,10,6,10,6,7,7
M0732955,091011  00005C,1,11,4,2,5,1,1
M0732955,091011  00005C,1,11,4,2,5,1,1
B1118012,D0129M A00018,1,4,2,1,2,9,9
M0751127,A0141C F00021,1,4,2,1,2,9,9
M0757495,072097  00038,1,2,1,3,1,4,4
E0734534,015008  00003,2,1,7,11,9,7,7
E0730265,074086  00020,2,16,11,9,7,5,5
E0730147,G0231D A00115,2,17,9,6,8,8,8
M0752251,G0231D A00115,2,17,9,6,8,8,8
B1051601,G0231Q B00061,1,17,9,6,8,1,1
M0759180,D0116  A00079,1,4,2,7,2,3,3
M0726985,056004  00016,1,6,8,5,4,2,2
B1116691,G0231K D00018,1,17,9,6,8,8,8
P0357941,G0231X B00027,1,17,9,6,8,1,1
B1116905,020019  00001C,1,1,7,11,9,7,7
M0737494,096512 A00028,1,11,4,2,5,9,9
P0356904,057024  00040,1,6,8,5,4,2,2
P0358562,M0115   00522,1,2,2,7,1,3,3
CZW194766,060123  00054,2,10,15,5,6,7,7
E0726796,081073  00072,2,17,13,8,7,8,8
B1113632,G0230Q E00017,2,17,9,6,7,1,1
C04601282,059074  00003,2,6,15,5,9,2,2
E0737817,046016  00022,2,6,8,5,4,2,2
P0360976,081076  00017,2,17,13,8,7,8,8
E0733412,093418 B00181,2,16,11,9,7,5,5
E0737793,096500  00293,1,5,4,2,5,9,9
P0359847,G0231R C00004,1,17,9,6,8,8,8
CZW205299,D0255G E00039,2,16,13,8,7,8,8
M0745006,082010  00034,2,10,10,10,6,10,10
M0748934,079037  00006,2,10,11,9,6,5,5
P0355743,G0231L D00033,1,17,9,6,8,8,8
C04787758,058102  00075C,2,16,15,5,7,2,2
E0733459,058094  00028,2,16,15,5,7,2,2
E0733492,058094  00028,2,16,15,5,7,2,2
E0733493,058094  00028,2,16,15,5,7,2,2
E0735915,092007  00073,1,4,4,2,2,9,9
E0733491,058094  00028,2,16,15,5,7,2,2
E0733489,058094  00028,2,16,15,5,7,2,2
C04597452,084010  00116,1,2,1,3,1,3,3
C1910249,043051  00017C,1,5,1,3,1,2,2
P0360785,040029  00013,1,2,7,3,9,7,7
CB200084,014010  00001,2,10,6,10,6,7,7
C2010323,076035  00068,2,10,10,10,6,10,10
P0346501,078001  00014,2,10,10,10,6,10,10
C04766412,022002  00002,1,2,6,4,3,7,7
S0108882,020036  00015,1,1,7,11,9,7,7
E0731555,029048  00017,2,10,15,5,9,7,7
P0359414,056034  00041,1,6,8,5,4,2,2
C04758376,077001  00020,2,10,10,10,6,10,10
C2010129,086003  00003,1,2,1,3,1,3,3
C2010540,073001  00033,2,10,11,9,7,5,5
C2010550,079032  00055,2,10,11,9,6,5,5
CZW172148,077023  00023,2,10,10,10,6,10,10
C2010129,086003  00003,1,2,1,3,1,3,3
S0108981,002128  00038,2,1,6,4,3,7,7
SC005952,077025  00005,2,10,10,10,6,10,10
CB200145,011004  00013,2,1,6,4,3,7,7
S0107347,002099  00002C,2,1,6,4,3,7,7
S0107348,002099  00002C,2,1,6,4,3,7,7
S0107346,002099  00002C,2,1,6,4,3,7,7
E0694142,002099  00002C,2,1,6,4,3,7,7
M0732252,M0115L B00035,1,2,2,7,2,3,3
P0350221,A0142   00844,1,4,2,1,2,9,9
C04737428,086004  00003,1,2,1,3,1,3,3
C04131796,021102  00020,1,1,7,11,9,7,7
P0360247,056055 A00044,1,15,8,5,4,1,1
SC005523,050123  00024,2,10,10,10,6,10,10
M0732251,M0115L B00034,1,2,2,7,2,3,3
CB200060,053103  00026,1,5,1,3,1,2,2
M0742690,G0232N B00049,1,17,9,6,8,8,8
M0742690,G0232N B00049,1,17,9,6,8,8,8
P0358328,096500  00696,1,5,4,2,5,9,9
C2010504,027003  00014,1,2,6,4,3,7,7
C2010092,060211  00020,2,10,11,9,7,5,5
CZW195885,079097  00060,2,10,11,9,6,5,5
